<nGateways>,<nEndDevices>,<totalTime>,<drCalcMethod>,<drCalcMethodMisc>,<seed>,<usDataPeriod>,<delivered>,<sent>,<PDR>,<deliveredDR0>,<sentDR0>,<PDRDR0>,<deliveredDR1>,<sentDR1>,<PDRDR1>,<deliveredDR2>,<sentDR2>,<PDRDR2>,<deliveredDR3>,<sentDR3>,<PDRDR3>,<deliveredDR4>,<sentDR4>,<PDRDR4>,<deliveredDR5>,<sentDR5>,<PDRDR5>
1,1,600000,2,5,12354,600,1000,1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,1000,1
1,1,600000,2,5,12354,600,998,1000,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,1000,0.998
1,1,600000,2,5,12354,600,952,1000,0.952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,1000,0.952
1,1,600000,2,5,12354,600,711,1000,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,1000,0.711
1,1,600000,2,5,12354,600,236,1000,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,1000,0.236
1,1,600000,2,5,12354,600,10,1000,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1000,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1800,1,,,,,,,,,,,,,,,,,,,,,,,,
,,1900,0.998,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,0.952,,,,,,,,,,,,,,,,,,,,,,,,
,,2100,0.711,,,,,,,,,,,,,,,,,,,,,,,,
,,2200,0.236,,,,,,,,,,,,,,,,,,,,,,,,
,,2300,0.01,,,,,,,,,,,,,,,,,,,,,,,,
